___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2024/12/1 to 2024/12/31                         |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x26 | Sabrina Carpenter/Short N Sweet                                                              | 942 Minutes and 53 Seconds  |
| #2   | x8  | The Killers/Pressure Machine                                                                 | 410 Minutes and 56 Seconds  |
| #3   | x8  | Pink Floyd/The Dark Side Of The Moon                                                         | 441 Minutes and 32 Seconds  |
| #4   | x7  | Frederic Chopin/Nocturnes                                                                    | 473 Minutes and 33 Seconds  |
| #5   | x6  | Prince And The Revolution/Purple Rain                                                        | 263 Minutes and 12 Seconds  |
| #6   | x6  | The Grateful Dead/Workingmans Dead                                                           | 215 Minutes and 15 Seconds  |
| #7   | x5  | Various Artists/Saturday Night Fever The Original Movie Sound Track                          | 380 Minutes and 9 Seconds   |
| #8   | x5  | Nine Inch Nails/Broken                                                                       | 158 Minutes and 1 Seconds   |
| #9   | x5  | King Crimson/In The Court Of The Crimson King                                                | 219 Minutes and 32 Seconds  |
| #10  | x4  | Franz Ferdinand/Franz Ferdinand                                                              | 155 Minutes and 19 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x4  | Hater/Hater                                                                                  | 124 Minutes and 44 Seconds  |
| #12  | x4  | Yes/90125                                                                                    | 178 Minutes and 58 Seconds  |
| #13  | x4  | Taylor Swift/Midnights                                                                       | 176 Minutes and 33 Seconds  |
| #14  | x4  | Billy Joel/52Nd Street                                                                       | 161 Minutes and 53 Seconds  |
| #15  | x4  | Nine Inch Nails/With Teeth                                                                   | 224 Minutes and 24 Seconds  |
| #16  | x4  | Blind Melon/Blind Melon                                                                      | 221 Minutes and 36 Seconds  |
| #17  | x4  | Pink Floyd/Atom Heart Mother                                                                 | 208 Minutes and 24 Seconds  |
| #18  | x4  | Green Day/Saviors                                                                            | 184 Minutes and 10 Seconds  |
| #19  | x3  | Alice In Chains/The Devil Put Dinosaurs Here                                                 | 202 Minutes and 7 Seconds   |
| #20  | x3  | Metallica/And Justice For All                                                                | 196 Minutes and 21 Seconds  |
| #21  | x3  | Led Zeppelin/Houses Of The Holy                                                              | 122 Minutes and 40 Seconds  |
| #22  | x3  | Led Zeppelin/Led Zeppelin Iv                                                                 | 127 Minutes and 50 Seconds  |
| #23  | x3  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 105 Minutes and 6 Seconds   |
| #24  | x3  | Nine Inch Nails/Add Violence                                                                 | 81 Minutes and 45 Seconds   |
| #25  | x3  | Van Halen/Diver Down                                                                         | 94 Minutes and 28 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | The Police/Synchronicity                                                                     | 133 Minutes and 25 Seconds  |
| #27  | x3  | Alice In Chains/Black Gives Way To Blue                                                      | 162 Minutes and 53 Seconds  |
| #28  | x3  | Richard Strauss/Also Sprach Zarathustra                                                      | 237 Minutes and 20 Seconds  |
| #29  | x3  | Bachman Turner Overdrive/Btos Greatest                                                       | 163 Minutes and 59 Seconds  |
| #30  | x3  | Alice In Chains/Jar Of Flies                                                                 | 92 Minutes and 35 Seconds   |
| #31  | x2  | Paramore/After Laughter                                                                      | 85 Minutes and 16 Seconds   |
| #32  | x2  | Green Day/Dookie                                                                             | 79 Minutes and 32 Seconds   |
| #33  | x2  | Various Artists/Singles Original Motion Picture Soundtrack                                   | 130 Minutes and 53 Seconds  |
| #34  | x2  | Bruce Springsteen/Born In The Usa                                                            | 93 Minutes and 47 Seconds   |
| #35  | x2  | Billy Joel/An Innocent Man                                                                   | 80 Minutes and 43 Seconds   |
| #36  | x2  | The Smashing Pumpkins/Thirty Three                                                           | 51 Minutes and 47 Seconds   |
| #37  | x2  | Motley Crue/Dr Feelgood                                                                      | 90 Minutes and 17 Seconds   |
| #38  | x2  | Rob Zombie/Hellbilly Deluxe                                                                  | 76 Minutes and 59 Seconds   |
| #39  | x2  | Rem/Lifes Rich Pageant                                                                       | 76 Minutes and 59 Seconds   |
| #40  | x2  | Snow Patrol/Eyes Open                                                                        | 90 Minutes and 10 Seconds   |
| #41  | x2  | Bryan Adams/Reckless                                                                         | 75 Minutes and 59 Seconds   |
| #42  | x2  | Supertramp/Crime Of The Century                                                              | 88 Minutes and 40 Seconds   |
| #43  | x1  | Fleetwood Mac/Rumours                                                                        | 39 Minutes and 58 Seconds   |
| #44  | x1  | Green Day/Saviours                                                                           | 0 Minutes and 0 Seconds     |
