___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2024/1/1 to 2024/12/31                          |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x49 | Nine Inch Nails/Broken                                                                       | 1548 Minutes and 35 Seconds |
| #2   | x43 | Pink Floyd/The Dark Side Of The Moon                                                         | 2373 Minutes and 16 Seconds |
| #3   | x34 | Billy Joel/52Nd Street                                                                       | 1376 Minutes and 3 Seconds  |
| #4   | x32 | Sabrina Carpenter/Short N Sweet                                                              | 1160 Minutes and 29 Seconds |
| #5   | x31 | Nine Inch Nails/With Teeth                                                                   | 1739 Minutes and 6 Seconds  |
| #6   | x30 | Green Day/Saviors                                                                            | 1381 Minutes and 20 Seconds |
| #7   | x29 | Yes/90125                                                                                    | 1297 Minutes and 35 Seconds |
| #8   | x29 | The Grateful Dead/Workingmans Dead                                                           | 1040 Minutes and 24 Seconds |
| #9   | x24 | Led Zeppelin/Houses Of The Holy                                                              | 981 Minutes and 24 Seconds  |
| #10  | x23 | Led Zeppelin/Led Zeppelin Iv                                                                 | 980 Minutes and 10 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x23 | Nine Inch Nails/Pretty Hate Machine                                                          | 1122 Minutes and 1 Seconds  |
| #12  | x22 | Pink Floyd/Atom Heart Mother                                                                 | 1146 Minutes and 12 Seconds |
| #13  | x21 | Alanis Morissette/Jagged Little Pill                                                         | 1207 Minutes and 31 Seconds |
| #14  | x21 | Rem/Lifes Rich Pageant                                                                       | 808 Minutes and 28 Seconds  |
| #15  | x21 | Prince And The Revolution/Purple Rain                                                        | 921 Minutes and 13 Seconds  |
| #16  | x20 | Nine Inch Nails/Hesitation Marks                                                             | 1239 Minutes and 4 Seconds  |
| #17  | x20 | King Crimson/Islands                                                                         | 829 Minutes and 13 Seconds  |
| #18  | x20 | Taylor Swift/Midnights                                                                       | 882 Minutes and 46 Seconds  |
| #19  | x20 | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 700 Minutes and 44 Seconds  |
| #20  | x19 | Billy Joel/An Innocent Man                                                                   | 766 Minutes and 49 Seconds  |
| #21  | x17 | King Crimson/In The Court Of The Crimson King                                                | 746 Minutes and 27 Seconds  |
| #22  | x16 | The Killers/Pressure Machine                                                                 | 821 Minutes and 53 Seconds  |
| #23  | x15 | Hater/Hater                                                                                  | 467 Minutes and 46 Seconds  |
| #24  | x14 | Bruce Springsteen/Born In The Usa                                                            | 656 Minutes and 34 Seconds  |
