___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/4/1 to 2025/4/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x18 | The Sex Pistols/Never Mind The Bollocks                                                      | 698 Minutes and 30 Seconds  |
| #2   | x17 | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 290 Minutes and 42 Seconds  |
| #3   | x11 | Green Day/Revolution Radio                                                                   | 491 Minutes and 2 Seconds   |
| #4   | x10 | Led Zeppelin/In Through The Out Door                                                         | 425 Minutes and 33 Seconds  |
| #5   | x9  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 454 Minutes and 30 Seconds  |
| #6   | x9  | Teenage Fanclub/Bandwagonesque                                                               | 386 Minutes and 14 Seconds  |
| #7   | x8  | Sabrina Carpenter/Short N Sweet                                                              | 290 Minutes and 7 Seconds   |
| #8   | x8  | Rem/Automatic For The People                                                                 | 390 Minutes and 57 Seconds  |
| #9   | x8  | Genesis/Selling England By The Pound                                                         | 430 Minutes and 27 Seconds  |
| #10  | x7  | Dire Straits/Communique                                                                      | 293 Minutes and 54 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x6  | The Fluid/Purplemetalflakemusic                                                              | 301 Minutes and 12 Seconds  |
| #12  | x6  | Pink Floyd/The Division Bell                                                                 | 399 Minutes and 6 Seconds   |
| #13  | x6  | Pink Floyd/The Dark Side Of The Moon                                                         | 257 Minutes and 43 Seconds  |
| #14  | x4  | The Grateful Dead/Workingmans Dead                                                           | 143 Minutes and 30 Seconds  |
| #15  | x4  | Rem/Lifes Rich Pageant                                                                       | 153 Minutes and 59 Seconds  |
| #16  | x4  | Counting Crows/August And Everything After                                                   | 206 Minutes and 53 Seconds  |
| #17  | x4  | Supertramp/Supertramp                                                                        | 191 Minutes and 21 Seconds  |
| #18  | x4  | King Crimson/Islands                                                                         | 165 Minutes and 50 Seconds  |
| #19  | x4  | Led Zeppelin/Houses Of The Holy                                                              | 163 Minutes and 34 Seconds  |
| #20  | x4  | Abba/Gold                                                                                    | 308 Minutes and 33 Seconds  |
| #21  | x4  | Third Eye Blind/Blue                                                                         | 276 Minutes and 24 Seconds  |
| #22  | x3  | The Killers/Pressure Machine                                                                 | 154 Minutes and 6 Seconds   |
| #23  | x3  | Dire Straits/Dire Straits                                                                    | 124 Minutes and 17 Seconds  |
| #24  | x3  | Bruce Springsteen/Born In The Usa                                                            | 140 Minutes and 41 Seconds  |
| #25  | x3  | The Breeders/Last Splash                                                                     | 119 Minutes and 13 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Hammerbox/Numb                                                                               | 126 Minutes and 15 Seconds  |
| #27  | x3  | Mother Love Bone/Apple                                                                       | 185 Minutes and 20 Seconds  |
| #28  | x3  | Third Eye Blind/Third Eye Blind                                                              | 172 Minutes and 49 Seconds  |
| #29  | x3  | Filter/The Amalgamut                                                                         | 172 Minutes and 59 Seconds  |
| #30  | x3  | Frederic Chopin/Nocturnes                                                                    | 202 Minutes and 57 Seconds  |
| #31  | x3  | Acdc/Back In Black                                                                           | 126 Minutes and 5 Seconds   |
| #32  | x3  | Green River/Dry As A Bone                                                                    | 173 Minutes and 17 Seconds  |
| #33  | x3  | Pink Floyd/Atom Heart Mother                                                                 | 156 Minutes and 18 Seconds  |
| #34  | x3  | Pyotr Ilyich Tchaikovsky/Symphony No 4                                                       | 128 Minutes and 57 Seconds  |
| #35  | x3  | Pink Floyd/Meddle                                                                            | 140 Minutes and 12 Seconds  |
| #36  | x3  | The Clash/The Clash                                                                          | 130 Minutes and 40 Seconds  |
| #37  | x3  | Billy Joel/52Nd Street                                                                       | 121 Minutes and 25 Seconds  |
| #38  | x2  | Skin Yard/1000 Smiling Knuckles                                                              | 69 Minutes and 23 Seconds   |
| #39  | x2  | Led Zeppelin/Led Zeppelin Iv                                                                 | 89 Minutes and 40 Seconds   |
| #39  | x2  | Led Zeppelin/Led Zeppelin Iv                                                                 | 85 Minutes and 13 Seconds   |
| #40  | x2  | Various Artists/Top Gun Original Motion Picture Soundtrack                                   | 77 Minutes and 28 Seconds   |
| #41  | x2  | The Police/Synchronicity                                                                     | 88 Minutes and 57 Seconds   |
| #42  | x2  | Nine Inch Nails/Broken                                                                       | 63 Minutes and 12 Seconds   |
| #43  | x2  | Johannes Brahms/Symphony No 3                                                                | 78 Minutes and 16 Seconds   |
| #44  | x2  | Hater/Hater                                                                                  | 62 Minutes and 22 Seconds   |
| #45  | x2  | Nine Inch Nails/Hesitation Marks                                                             | 123 Minutes and 54 Seconds  |
| #46  | x2  | Metallica/And Justice For All                                                                | 130 Minutes and 54 Seconds  |
| #47  | x2  | The Doors/The Doors                                                                          | 88 Minutes and 57 Seconds   |
