___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/5/1 to 2025/5/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x19 | Genesis/Selling England By The Pound                                                         | 1022 Minutes and 19 Seconds |
| #2   | x16 | The Sex Pistols/Never Mind The Bollocks                                                      | 620 Minutes and 53 Seconds  |
| #3   | x16 | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 273 Minutes and 36 Seconds  |
| #4   | x12 | Teenage Fanclub/Bandwagonesque                                                               | 514 Minutes and 59 Seconds  |
| #5   | x12 | Pink Floyd/Meddle                                                                            | 560 Minutes and 51 Seconds  |
| #6   | x10 | Third Eye Blind/Blue                                                                         | 691 Minutes and 1 Seconds   |
| #7   | x9  | Dire Straits/Communique                                                                      | 377 Minutes and 52 Seconds  |
| #8   | x8  | Hammerbox/Numb                                                                               | 336 Minutes and 41 Seconds  |
| #9   | x8  | Jethro Tull/Thick As A Brick                                                                 | 348 Minutes and 51 Seconds  |
| #10  | x8  | Rush/Counterparts                                                                            | 435 Minutes and 18 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x7  | Billy Joel/52Nd Street                                                                       | 283 Minutes and 18 Seconds  |
| #12  | x7  | Rem/Lifes Rich Pageant                                                                       | 269 Minutes and 29 Seconds  |
| #13  | x7  | Bruce Springsteen/Tunnel Of Love                                                             | 324 Minutes and 57 Seconds  |
| #14  | x7  | Genesis/Invisible Touch                                                                      | 320 Minutes and 0 Seconds   |
| #15  | x6  | Yes/90125                                                                                    | 268 Minutes and 28 Seconds  |
| #16  | x5  | Pink Floyd/The Dark Side Of The Moon                                                         | 214 Minutes and 46 Seconds  |
| #17  | x4  | Pink Floyd/Relics                                                                            | 197 Minutes and 32 Seconds  |
| #18  | x4  | The Breeders/Last Splash                                                                     | 158 Minutes and 57 Seconds  |
| #19  | x4  | Richard Strauss/Tod Und Verklarung                                                           | 108 Minutes and 4 Seconds   |
| #20  | x4  | Green Day/Revolution Radio                                                                   | 178 Minutes and 33 Seconds  |
| #21  | x4  | Dire Straits/Brothers In Arms                                                                | 221 Minutes and 0 Seconds   |
| #22  | x3  | The Fluid/Purplemetalflakemusic                                                              | 150 Minutes and 36 Seconds  |
| #23  | x3  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 151 Minutes and 30 Seconds  |
| #24  | x3  | Led Zeppelin/Led Zeppelin Iv                                                                 | 134 Minutes and 30 Seconds  |
| #24  | x3  | Led Zeppelin/Led Zeppelin Iv                                                                 | 127 Minutes and 50 Seconds  |
| #25  | x3  | Frederic Chopin/Nocturnes                                                                    | 202 Minutes and 57 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | The Killers/Pressure Machine                                                                 | 154 Minutes and 6 Seconds   |
| #27  | x3  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 105 Minutes and 6 Seconds   |
| #28  | x3  | The Grateful Dead/Workingmans Dead                                                           | 107 Minutes and 37 Seconds  |
| #29  | x3  | Sabrina Carpenter/Short N Sweet                                                              | 108 Minutes and 47 Seconds  |
| #30  | x3  | The Police/Synchronicity                                                                     | 133 Minutes and 25 Seconds  |
| #31  | x3  | The Clash/The Clash                                                                          | 130 Minutes and 40 Seconds  |
| #32  | x3  | King Crimson/In The Court Of The Crimson King                                                | 131 Minutes and 43 Seconds  |
| #33  | x2  | Rem/Automatic For The People                                                                 | 97 Minutes and 44 Seconds   |
| #34  | x2  | Pink Floyd/The Division Bell                                                                 | 133 Minutes and 2 Seconds   |
| #35  | x2  | King Crimson/Islands                                                                         | 82 Minutes and 55 Seconds   |
| #36  | x2  | Led Zeppelin/In Through The Out Door                                                         | 85 Minutes and 6 Seconds    |
| #37  | x2  | Antonin Dvorak/Symphony No 9                                                                 | 85 Minutes and 5 Seconds    |
| #38  | x2  | Bryan Adams/Reckless                                                                         | 75 Minutes and 59 Seconds   |
| #39  | x2  | Led Zeppelin/Houses Of The Holy                                                              | 81 Minutes and 47 Seconds   |
| #40  | x2  | Pearl Jam/Vs                                                                                 | 92 Minutes and 33 Seconds   |
| #41  | x2  | Hater/Hater                                                                                  | 62 Minutes and 22 Seconds   |
| #42  | x2  | Supertramp/Breakfast In America                                                              | 92 Minutes and 1 Seconds    |
| #43  | x2  | The Bangles/Greatest Hits                                                                    | 96 Minutes and 50 Seconds   |
| #44  | x2  | Joy Division/Unknown Pleasures                                                               | 78 Minutes and 51 Seconds   |
