___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/8/1 to 2025/8/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x17 | Genesis/Invisible Touch                                                                      | 777 Minutes and 8 Seconds   |
| #2   | x15 | Phil Collins/Hello I Must Be Going                                                           | 686 Minutes and 40 Seconds  |
| #3   | x11 | Pink Floyd/The Dark Side Of The Moon                                                         | 472 Minutes and 29 Seconds  |
| #4   | x10 | Lou Reed/Transformer                                                                         | 371 Minutes and 6 Seconds   |
| #5   | x9  | Billy Joel/52Nd Street                                                                       | 364 Minutes and 15 Seconds  |
| #6   | x9  | The Sex Pistols/Never Mind The Bollocks                                                      | 349 Minutes and 15 Seconds  |
| #7   | x9  | Genesis/Abacab                                                                               | 420 Minutes and 12 Seconds  |
| #8   | x8  | Rush/Hold Your Fire                                                                          | 404 Minutes and 5 Seconds   |
| #9   | x8  | Phil Collins/No Jacket Required                                                              | 406 Minutes and 1 Seconds   |
| #10  | x7  | Pink Floyd/Meddle                                                                            | 327 Minutes and 10 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x7  | Pink Floyd/Wish You Were Here                                                                | 309 Minutes and 40 Seconds  |
| #12  | x7  | Genesis/Genesis                                                                              | 321 Minutes and 56 Seconds  |
| #13  | x7  | Various Artists/La Bamba Original Motion Picture Soundtrack                                  | 219 Minutes and 51 Seconds  |
| #14  | x5  | Nine Inch Nails/Hesitation Marks                                                             | 309 Minutes and 46 Seconds  |
| #15  | x5  | Yes/Fragile                                                                                  | 205 Minutes and 50 Seconds  |
| #16  | x5  | Motley Crue/Dr Feelgood                                                                      | 225 Minutes and 44 Seconds  |
| #17  | x5  | Bruce Springsteen/Tunnel Of Love                                                             | 232 Minutes and 6 Seconds   |
| #18  | x4  | Bruce Springsteen/Born In The Usa                                                            | 187 Minutes and 35 Seconds  |
| #19  | x4  | Yes/90125                                                                                    | 178 Minutes and 58 Seconds  |
| #20  | x4  | Genesis/Selling England By The Pound                                                         | 215 Minutes and 13 Seconds  |
| #21  | x4  | Various Artists/Saturday Night Fever The Original Movie Sound Track                          | 304 Minutes and 7 Seconds   |
| #22  | x4  | Rem/Automatic For The People                                                                 | 195 Minutes and 28 Seconds  |
