___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/9/1 to 2025/9/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x16 | Pink Floyd/Wish You Were Here                                                                | 663 Minutes and 36 Seconds  |
| #2   | x13 | Lou Reed/Transformer                                                                         | 482 Minutes and 26 Seconds  |
| #3   | x11 | Genesis/Abacab                                                                               | 513 Minutes and 35 Seconds  |
| #4   | x11 | Billy Joel/52Nd Street                                                                       | 445 Minutes and 11 Seconds  |
| #5   | x9  | The Grateful Dead/Workingmans Dead                                                           | 322 Minutes and 53 Seconds  |
| #6   | x9  | Fleetwood Mac/Tango In The Night                                                             | 401 Minutes and 20 Seconds  |
| #7   | x8  | Genesis/Genesis                                                                              | 367 Minutes and 55 Seconds  |
| #8   | x8  | Genesis/Invisible Touch                                                                      | 365 Minutes and 42 Seconds  |
| #9   | x6  | Veruca Salt/Eight Arms To Hold You                                                           | 307 Minutes and 25 Seconds  |
| #10  | x6  | Pearl Jam/Ten                                                                                | 320 Minutes and 27 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x5  | Hedley/Storms                                                                                | 216 Minutes and 47 Seconds  |
| #12  | x5  | Rem/Automatic For The People                                                                 | 244 Minutes and 20 Seconds  |
| #13  | x4  | Various Artists/La Bamba Original Motion Picture Soundtrack                                  | 125 Minutes and 38 Seconds  |
| #14  | x4  | Phil Collins/No Jacket Required                                                              | 203 Minutes and 0 Seconds   |
| #15  | x4  | Phil Collins/Hello I Must Be Going                                                           | 183 Minutes and 6 Seconds   |
| #16  | x4  | Yes/Fragile                                                                                  | 164 Minutes and 40 Seconds  |
| #17  | x4  | Genesis/Selling England By The Pound                                                         | 215 Minutes and 13 Seconds  |
| #18  | x4  | Bruce Springsteen/Tunnel Of Love                                                             | 185 Minutes and 41 Seconds  |
| #19  | x4  | Supertramp/Crime Of The Century                                                              | 177 Minutes and 20 Seconds  |
| #20  | x3  | King Crimson/Islands                                                                         | 124 Minutes and 23 Seconds  |
| #21  | x3  | Jethro Tull/Thick As A Brick                                                                 | 130 Minutes and 49 Seconds  |
| #22  | x3  | Pink Floyd/The Dark Side Of The Moon                                                         | 128 Minutes and 51 Seconds  |
| #23  | x3  | Pink Floyd/Meddle                                                                            | 140 Minutes and 12 Seconds  |
| #24  | x3  | Violent Femmes/Violent Femmes                                                                | 131 Minutes and 17 Seconds  |
| #25  | x3  | The Sex Pistols/Never Mind The Bollocks                                                      | 116 Minutes and 25 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Genesis/Duke                                                                                 | 165 Minutes and 19 Seconds  |
| #27  | x3  | Rush/Hold Your Fire                                                                          | 151 Minutes and 32 Seconds  |
