___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/1/1 to 2026/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x15 | Eric Clapton/Slowhand                                                                        | 589 Minutes and 8 Seconds   |
| #2   | x14 | Billy Joel/The Stranger                                                                      | 594 Minutes and 21 Seconds  |
| #3   | x11 | Genesis/Genesis                                                                              | 505 Minutes and 54 Seconds  |
| #4   | x9  | Derek And The Dominos/Layla And Other Assorted Love Songs                                    | 693 Minutes and 35 Seconds  |
| #5   | x9  | Foreigner/4                                                                                  | 384 Minutes and 6 Seconds   |
| #6   | x9  | Zz Top/Afterburner                                                                           | 338 Minutes and 18 Seconds  |
| #7   | x7  | Metallica/Metallica                                                                          | 438 Minutes and 21 Seconds  |
| #8   | x7  | The Beatles/Sgt Peppers Lonely Hearts Club Band                                              | 278 Minutes and 53 Seconds  |
| #9   | x7  | Fleetwood Mac/Tango In The Night                                                             | 312 Minutes and 9 Seconds   |
| #10  | x6  | The Grateful Dead/American Beauty                                                            | 254 Minutes and 37 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x6  | Metallica/Reload                                                                             | 456 Minutes and 27 Seconds  |
| #12  | x5  | Genesis/Abacab                                                                               | 233 Minutes and 27 Seconds  |
| #13  | x5  | Tears For Fears/Songs From The Big Chair                                                     | 209 Minutes and 12 Seconds  |
| #14  | x5  | Yes/90125                                                                                    | 223 Minutes and 43 Seconds  |
| #15  | x5  | Pink Floyd/Wish You Were Here                                                                | 221 Minutes and 12 Seconds  |
| #16  | x5  | Boston/Walk On                                                                               | 221 Minutes and 57 Seconds  |
| #17  | x4  | The Sex Pistols/Never Mind The Bollocks                                                      | 155 Minutes and 13 Seconds  |
| #18  | x4  | Phil Collins/Hello I Must Be Going                                                           | 183 Minutes and 6 Seconds   |
| #19  | x4  | Dire Straits/Dire Straits                                                                    | 165 Minutes and 43 Seconds  |
| #20  | x4  | Fleetwood Mac/Rumours                                                                        | 159 Minutes and 52 Seconds  |
| #21  | x4  | Billy Joel/52Nd Street                                                                       | 161 Minutes and 53 Seconds  |
| #22  | x4  | Genesis/Invisible Touch                                                                      | 182 Minutes and 51 Seconds  |
| #23  | x4  | Phil Collins/No Jacket Required                                                              | 203 Minutes and 0 Seconds   |
| #24  | x4  | Pink Floyd/Meddle                                                                            | 186 Minutes and 57 Seconds  |
| #25  | x4  | Dire Straits/Making Movies                                                                   | 150 Minutes and 41 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x4  | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 68 Minutes and 25 Seconds   |
| #27  | x4  | Pyotr Ilyich Tchaikovsky/Der Nussknacker                                                     | 292 Minutes and 48 Seconds  |
| #28  | x4  | Eagles/Hotel California                                                                      | 173 Minutes and 48 Seconds  |
| #29  | x3  | Pearl Jam/Ten                                                                                | 160 Minutes and 13 Seconds  |
| #30  | x3  | Pink Floyd/The Dark Side Of The Moon                                                         | 128 Minutes and 51 Seconds  |
| #31  | x3  | Rush/Counterparts                                                                            | 163 Minutes and 14 Seconds  |
| #32  | x3  | Deep Purple/Machine Head                                                                     | 113 Minutes and 18 Seconds  |
| #33  | x3  | Styx/Styx I                                                                                  | 97 Minutes and 48 Seconds   |
| #34  | x3  | Billy Joel/Storm Front                                                                       | 134 Minutes and 53 Seconds  |
| #35  | x3  | King Crimson/In The Court Of The Crimson King                                                | 131 Minutes and 43 Seconds  |
| #36  | x3  | Rush/Permanent Waves                                                                         | 107 Minutes and 5 Seconds   |
| #37  | x3  | Green Day/American Idiot                                                                     | 195 Minutes and 28 Seconds  |
| #38  | x3  | Van Halen/Van Halen                                                                          | 106 Minutes and 36 Seconds  |
| #39  | x3  | Van Halen/Ou812                                                                              | 152 Minutes and 5 Seconds   |
| #40  | x2  | Sum 41/Half Hour Of Power                                                                    | 52 Minutes and 52 Seconds   |
| #41  | x2  | Bruce Springsteen/Tunnel Of Love                                                             | 92 Minutes and 50 Seconds   |
| #42  | x2  | Bryan Adams/Reckless                                                                         | 75 Minutes and 59 Seconds   |
| #43  | x2  | Alice In Chains/Black Gives Way To Blue                                                      | 108 Minutes and 35 Seconds  |
| #44  | x2  | Alice In Chains/Jar Of Flies                                                                 | 61 Minutes and 43 Seconds   |
| #45  | x2  | Bush/Sixteen Stone                                                                           | 105 Minutes and 45 Seconds  |
| #46  | x2  | Marcy Playground/Marcy Playground                                                            | 69 Minutes and 17 Seconds   |
| #47  | x2  | Pink Floyd/The Division Bell                                                                 | 133 Minutes and 2 Seconds   |
| #48  | x2  | Green Day/Dookie                                                                             | 79 Minutes and 32 Seconds   |
| #49  | x2  | The Smashing Pumpkins/Gish                                                                   | 92 Minutes and 40 Seconds   |
| #50  | x2  | Wolfgang Amadeus Mozart/Serenata Notturna                                                    | 26 Minutes and 54 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #51  | x2  | Ludwig Van Beethoven/Symphony No 3                                                           | 125 Minutes and 34 Seconds  |
| #52  | x2  | Nirvana/In Utero                                                                             | 82 Minutes and 42 Seconds   |
