___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/2/1 to 2026/2/28                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x16 | Boston/Walk On                                                                               | 710 Minutes and 14 Seconds  |
| #2   | x15 | Foreigner/4                                                                                  | 640 Minutes and 11 Seconds  |
| #3   | x15 | The Edgar Winter Group/They Only Come Out At Night                                           | 522 Minutes and 53 Seconds  |
| #4   | x14 | Rem/Out Of Time                                                                              | 618 Minutes and 5 Seconds   |
| #5   | x11 | Eagles/Hotel California                                                                      | 477 Minutes and 58 Seconds  |
| #6   | x11 | Van Halen/5150                                                                               | 475 Minutes and 54 Seconds  |
| #7   | x10 | Boston/Dont Look Back                                                                        | 338 Minutes and 55 Seconds  |
| #8   | x8  | Nickelback/Silver Side Up                                                                    | 313 Minutes and 24 Seconds  |
| #9   | x7  | Eric Clapton/Slowhand                                                                        | 274 Minutes and 55 Seconds  |
| #10  | x7  | Rush/Permanent Waves                                                                         | 249 Minutes and 52 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x6  | Pink Floyd/Meddle                                                                            | 280 Minutes and 25 Seconds  |
| #12  | x5  | Derek And The Dominos/Layla And Other Assorted Love Songs                                    | 385 Minutes and 19 Seconds  |
| #13  | x5  | The Grateful Dead/American Beauty                                                            | 212 Minutes and 11 Seconds  |
| #14  | x4  | Phil Collins/Hello I Must Be Going                                                           | 183 Minutes and 6 Seconds   |
| #15  | x4  | Boston/Boston                                                                                | 150 Minutes and 42 Seconds  |
| #16  | x4  | The Beatles/Sgt Peppers Lonely Hearts Club Band                                              | 159 Minutes and 21 Seconds  |
| #17  | x4  | Genesis/Selling England By The Pound                                                         | 215 Minutes and 13 Seconds  |
| #18  | x4  | Genesis/Genesis                                                                              | 183 Minutes and 57 Seconds  |
| #19  | x4  | Genesis/Abacab                                                                               | 186 Minutes and 45 Seconds  |
| #20  | x3  | Rem/Automatic For The People                                                                 | 146 Minutes and 36 Seconds  |
| #21  | x3  | Three Days Grace/One X                                                                       | 131 Minutes and 17 Seconds  |
| #22  | x3  | Pink Floyd/The Wall                                                                          | 244 Minutes and 18 Seconds  |
| #23  | x3  | Rem/Document                                                                                 | 119 Minutes and 29 Seconds  |
| #24  | x3  | Rush/Rush                                                                                    | 120 Minutes and 55 Seconds  |
| #25  | x3  | Billy Joel/The Stranger                                                                      | 127 Minutes and 21 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Fleetwood Mac/Tango In The Night                                                             | 133 Minutes and 46 Seconds  |
| #27  | x3  | Zz Top/Afterburner                                                                           | 112 Minutes and 46 Seconds  |
