___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/3/1 to 2026/3/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x26 | Van Halen/5150                                                                               | 1124 Minutes and 53 Seconds |
| #2   | x15 | Nickelback/Silver Side Up                                                                    | 587 Minutes and 39 Seconds  |
| #3   | x9  | Eagles/Hotel California                                                                      | 391 Minutes and 4 Seconds   |
| #4   | x8  | The Cars/The Cars                                                                            | 280 Minutes and 59 Seconds  |
| #5   | x8  | Breaking Benjamin/Ember                                                                      | 310 Minutes and 50 Seconds  |
| #6   | x7  | Dire Straits/Making Movies                                                                   | 263 Minutes and 43 Seconds  |
| #7   | x5  | Foreigner/4                                                                                  | 213 Minutes and 23 Seconds  |
| #8   | x5  | The Grateful Dead/American Beauty                                                            | 212 Minutes and 11 Seconds  |
| #9   | x5  | Derek And The Dominos/Layla And Other Assorted Love Songs                                    | 385 Minutes and 19 Seconds  |
| #10  | x5  | Rem/Out Of Time                                                                              | 220 Minutes and 44 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x5  | Pink Floyd/Meddle                                                                            | 233 Minutes and 41 Seconds  |
| #12  | x5  | Boston/Walk On                                                                               | 221 Minutes and 57 Seconds  |
| #13  | x4  | Rush/Permanent Waves                                                                         | 142 Minutes and 46 Seconds  |
| #14  | x4  | Eric Clapton/Slowhand                                                                        | 157 Minutes and 6 Seconds   |
| #15  | x4  | Genesis/Invisible Touch                                                                      | 182 Minutes and 51 Seconds  |
| #16  | x4  | Billy Joel/52Nd Street                                                                       | 161 Minutes and 53 Seconds  |
| #17  | x4  | Phil Collins/But Seriously                                                                   | 239 Minutes and 0 Seconds   |
| #18  | x4  | Third Eye Blind/Third Eye Blind                                                              | 230 Minutes and 26 Seconds  |
| #19  | x4  | Dire Straits/Dire Straits                                                                    | 165 Minutes and 43 Seconds  |
| #20  | x4  | Genesis/Selling England By The Pound                                                         | 215 Minutes and 13 Seconds  |
| #21  | x4  | Creed/Human Clay                                                                             | 241 Minutes and 51 Seconds  |
| #22  | x4  | Creed/My Own Prison                                                                          | 196 Minutes and 40 Seconds  |
| #23  | x3  | Supertramp/Crime Of The Century                                                              | 133 Minutes and 0 Seconds   |
| #24  | x3  | Zz Top/Eliminator                                                                            | 136 Minutes and 5 Seconds   |
| #25  | x3  | Led Zeppelin/Led Zeppelin Iv                                                                 | 127 Minutes and 50 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Zz Top/Afterburner                                                                           | 112 Minutes and 46 Seconds  |
| #27  | x3  | Green Day/Dookie                                                                             | 119 Minutes and 18 Seconds  |
| #28  | x3  | Tears For Fears/Songs From The Big Chair                                                     | 125 Minutes and 31 Seconds  |
| #29  | x3  | Led Zeppelin/Houses Of The Holy                                                              | 122 Minutes and 40 Seconds  |
| #30  | x3  | Yes/90125                                                                                    | 134 Minutes and 14 Seconds  |
| #31  | x3  | Van Halen/Ou812                                                                              | 152 Minutes and 5 Seconds   |
| #32  | x3  | Kansas/Point Of Know Return                                                                  | 132 Minutes and 59 Seconds  |
| #33  | x3  | Billy Joel/The Stranger                                                                      | 127 Minutes and 21 Seconds  |
| #34  | x3  | Rem/Automatic For The People                                                                 | 146 Minutes and 36 Seconds  |
| #35  | x3  | Bruce Springsteen/Born In The Usa                                                            | 140 Minutes and 41 Seconds  |
| #36  | x2  | My Chemical Romance/The Black Parade                                                         | 103 Minutes and 54 Seconds  |
| #37  | x2  | Yes/Fragile                                                                                  | 82 Minutes and 20 Seconds   |
| #38  | x2  | Foreigner/Agent Provocateur                                                                  | 85 Minutes and 2 Seconds    |
| #39  | x2  | Alice In Chains/Jar Of Flies                                                                 | 61 Minutes and 43 Seconds   |
| #40  | x2  | The Killers/Pressure Machine                                                                 | 102 Minutes and 44 Seconds  |
| #41  | x2  | Buckcherry/15                                                                                | 85 Minutes and 6 Seconds    |
| #42  | x2  | Phil Collins/No Jacket Required                                                              | 101 Minutes and 30 Seconds  |
| #43  | x2  | Nine Inch Nails/With Teeth                                                                   | 112 Minutes and 12 Seconds  |
| #44  | x2  | John Cougar Mellencamp/Scarecrow                                                             | 82 Minutes and 17 Seconds   |
| #45  | x2  | The Edgar Winter Group/They Only Come Out At Night                                           | 69 Minutes and 43 Seconds   |
| #46  | x2  | Pink Floyd/Wish You Were Here                                                                | 88 Minutes and 28 Seconds   |
| #47  | x2  | Rush/Hold Your Fire                                                                          | 101 Minutes and 1 Seconds   |
| #48  | x2  | Poison/Flesh And Blood                                                                       | 115 Minutes and 31 Seconds  |
| #49  | x2  | Pink Floyd/The Wall                                                                          | 162 Minutes and 52 Seconds  |
| #50  | x2  | Nine Inch Nails/Broken                                                                       | 63 Minutes and 12 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #51  | x2  | Pink Floyd/The Dark Side Of The Moon                                                         | 85 Minutes and 54 Seconds   |
| #52  | x2  | Motley Crue/Motley Crue                                                                      | 120 Minutes and 45 Seconds  |
| #53  | x2  | Motley Crue/Dr Feelgood                                                                      | 90 Minutes and 17 Seconds   |
| #54  | x2  | Van Halen/For Unlawful Carnal Knowledge                                                      | 104 Minutes and 14 Seconds  |
| #55  | x2  | Pearl Jam/Ten                                                                                | 106 Minutes and 49 Seconds  |
| #56  | x2  | Hedley/Hedley                                                                                | 81 Minutes and 2 Seconds    |
| #57  | x2  | King Crimson/In The Court Of The Crimson King                                                | 87 Minutes and 49 Seconds   |
| #58  | x2  | Styx/Styx I                                                                                  | 65 Minutes and 12 Seconds   |
| #59  | x2  | Metallica/Reload                                                                             | 152 Minutes and 9 Seconds   |
| #60  | x2  | Mother Love Bone/Apple                                                                       | 123 Minutes and 33 Seconds  |
| #61  | x2  | Three Days Grace/Outsider                                                                    | 78 Minutes and 51 Seconds   |
