___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/6/1 to 2026/6/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x22 | Supertramp/Even In The Quietest Moments                                                      | 958 Minutes and 41 Seconds  |
| #2   | x18 | Van Halen/5150                                                                               | 778 Minutes and 46 Seconds  |
| #3   | x14 | Phil Collins/But Seriously                                                                   | 836 Minutes and 32 Seconds  |
| #4   | x13 | Yes/Talk                                                                                     | 715 Minutes and 19 Seconds  |
| #5   | x10 | Skid Row/Skid Row                                                                            | 396 Minutes and 57 Seconds  |
| #6   | x9  | Supertramp/Crisis What Crisis                                                                | 426 Minutes and 42 Seconds  |
| #7   | x8  | Eagles/Eagles                                                                                | 296 Minutes and 58 Seconds  |
| #8   | x7  | Pink Floyd/The Dark Side Of The Moon                                                         | 300 Minutes and 40 Seconds  |
| #9   | x7  | Third Eye Blind/Third Eye Blind                                                              | 403 Minutes and 16 Seconds  |
| #10  | x6  | Nickelback/Silver Side Up                                                                    | 235 Minutes and 3 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x6  | Billy Joel/The Stranger                                                                      | 254 Minutes and 43 Seconds  |
| #12  | x5  | Kansas/Point Of Know Return                                                                  | 221 Minutes and 38 Seconds  |
| #13  | x5  | Creed/Weathered                                                                              | 250 Minutes and 26 Seconds  |
| #14  | x5  | Eagles/Hotel California                                                                      | 217 Minutes and 15 Seconds  |
| #15  | x5  | Spin Doctors/Pocket Full Of Kryptonite                                                       | 253 Minutes and 46 Seconds  |
| #16  | x5  | Europe/The Final Countdown                                                                   | 25 Minutes and 48 Seconds   |
| #17  | x5  | Pink Floyd/Wish You Were Here                                                                | 221 Minutes and 12 Seconds  |
